"group","county_fips","State","County_Name","RUCC_2013","lat_rounded","lng_rounded","oc_formatted","lat_rounded_fc","lng_rounded_fc"
"treatment",48113,"TX","Dallas County",1,32.765,-96.775,"Balmorhea Drive, Dallas, TX 75134, United States of America",32.635,-96.765
"treatment",48121,"TX","Denton County",1,33.205,-97.115,"4121 International Parkway, Carrollton, TX 75007, United States of America",33.025,-96.845
"treatment",48201,"TX","Harris County",1,29.855,-95.395,"Amazon HOU2, 10550 Ella Boulevard, North Houston District, TX 77038, United States of America",29.935,-95.425
"treatment",48209,"TX","Hays County",1,30.065,-98.025,"Amazon SAT2, 1401 East McCarty Lane, San Marcos, TX 78666, United States of America",29.835,-97.965
"treatment",48439,"TX","Tarrant County",1,32.775,-97.285,"14900 Frye Road, Fort Worth, TX 76155, United States of America",32.825,-97.045
"treatment",48439,"TX","Tarrant County",1,32.775,-97.285,"Amazon Fulfillment Center DFW7, 700 Westport Parkway, Fort Worth, TX 76177, United States of America",32.975,-97.335
"treatment",48439,"TX","Tarrant County",1,32.775,-97.285,"Heritage Parkway, Fort Worth, TX 76177, United States of America",32.975,-97.315
"treatment",51041,"VA","Chesterfield County",1,37.385,-77.585,"RIC2 Amazon Fulfillment Center, 1901 Meadowville Technology Parkway, Meadowville, Chester, VA 23836, United States of America",37.355,-77.325
"treatment",51053,"VA","Dinwiddie County",1,37.075,-77.625,"Amazon Fulfillment Center, 5000 Commerce Way, Addison, Petersburg, VA 23803, United States of America",37.195,-77.495
"treatment",53033,"WA","King County",1,47.495,-121.805,"Amazon BFI4, 21005 64th Avenue South, Kent, WA 98032, United States of America",47.415,-122.255
"treatment",53053,"WA","Pierce County",1,47.025,-122.105,"Amazon BFI3, 2700 Center Drive, DuPont, WA 98327, United States of America",47.115,-122.635
"treatment",53053,"WA","Pierce County",1,47.025,-122.105,"BFI1 Amazon Fulfillment Center, 1800 140th Avenue East, Sumner, Pierce County, WA 98390, United States of America",47.245,-122.245
"treatment",53053,"WA","Pierce County",1,47.025,-122.105,"2309 Milwaukee Way, Tacoma, WA 98421, United States of America",47.245,-122.395
"treatment",55059,"WI","Kenosha County",1,42.575,-88.035,"Amazon Fulfillment Center MKE1, 3501 120th Avenue, Somers, WI 53144, United States of America",42.615,-87.945
"control",1007,"AL","Bibb County",1,33.005,-87.125,NA,NA,NA
"control",1009,"AL","Blount County",1,33.975,-86.565,NA,NA,NA
"control",1021,"AL","Chilton County",1,32.855,-86.715,NA,NA,NA
"control",1115,"AL","St. Clair County",1,33.715,-86.315,NA,NA,NA
"control",1117,"AL","Shelby County",1,33.265,-86.655,NA,NA,NA
"control",1127,"AL","Walker County",1,33.805,-87.295,NA,NA,NA
"control",4021,"AZ","Pinal County",1,32.905,-111.345,NA,NA,NA
"control",5035,"AR","Crittenden County",1,35.215,-90.305,NA,NA,NA
"control",6001,"CA","Alameda County",1,37.645,-121.885,NA,NA,NA
"control",6013,"CA","Contra Costa County",1,37.925,-121.925,NA,NA,NA
"control",6017,"CA","El Dorado County",1,38.785,-120.525,NA,NA,NA
"control",6041,"CA","Marin County",1,38.075,-122.725,NA,NA,NA
"control",6059,"CA","Orange County",1,33.705,-117.755,NA,NA,NA
"control",6061,"CA","Placer County",1,39.065,-120.715,NA,NA,NA
"control",6069,"CA","San Benito County",1,36.605,-121.075,NA,NA,NA
"control",6075,"CA","San Francisco County",1,37.755,-122.435,NA,NA,NA
"control",6081,"CA","San Mateo County",1,37.425,-122.325,NA,NA,NA
"control",6113,"CA","Yolo County",1,38.685,-121.895,NA,NA,NA
"control",8019,"CO","Clear Creek County",1,39.695,-105.645,NA,NA,NA
"control",8035,"CO","Douglas County",1,39.335,-104.925,NA,NA,NA
"control",8039,"CO","Elbert County",1,39.285,-104.135,NA,NA,NA
"control",8047,"CO","Gilpin County",1,39.855,-105.515,NA,NA,NA
"control",8059,"CO","Jefferson County",1,39.585,-105.245,NA,NA,NA
"control",8093,"CO","Park County",1,39.115,-105.715,NA,NA,NA
"control",9013,"CT","Tolland County",1,41.855,-72.335,NA,NA,NA
"control",11001,"DC","District of Columbia",1,38.905,-77.015,NA,NA,NA
"control",12003,"FL","Baker County",1,30.335,-82.285,NA,NA,NA
"control",12019,"FL","Clay County",1,29.985,-81.855,NA,NA,NA
"control",12053,"FL","Hernando County",1,28.555,-82.425,NA,NA,NA
"control",12069,"FL","Lake County",1,28.765,-81.705,NA,NA,NA
"control",12089,"FL","Nassau County",1,30.615,-81.795,NA,NA,NA
"control",12097,"FL","Osceola County",1,28.065,-81.155,NA,NA,NA
"control",12101,"FL","Pasco County",1,28.315,-82.395,NA,NA,NA
"control",12103,"FL","Pinellas County",1,27.935,-82.725,NA,NA,NA
"control",12109,"FL","St. Johns County",1,29.905,-81.435,NA,NA,NA
"control",12117,"FL","Seminole County",1,28.715,-81.235,NA,NA,NA
"control",13013,"GA","Barrow County",1,33.995,-83.715,NA,NA,NA
"control",13015,"GA","Bartow County",1,34.245,-84.835,NA,NA,NA
"control",13035,"GA","Butts County",1,33.285,-83.955,NA,NA,NA
"control",13045,"GA","Carroll County",1,33.585,-85.075,NA,NA,NA
"control",13057,"GA","Cherokee County",1,34.245,-84.475,NA,NA,NA
"control",13063,"GA","Clayton County",1,33.545,-84.355,NA,NA,NA
"control",13067,"GA","Cobb County",1,33.945,-84.575,NA,NA,NA
"control",13085,"GA","Dawson County",1,34.445,-84.165,NA,NA,NA
"control",13113,"GA","Fayette County",1,33.415,-84.495,NA,NA,NA
"control",13117,"GA","Forsyth County",1,34.225,-84.125,NA,NA,NA
"control",13143,"GA","Haralson County",1,33.795,-85.205,NA,NA,NA
"control",13149,"GA","Heard County",1,33.295,-85.125,NA,NA,NA
"control",13151,"GA","Henry County",1,33.455,-84.155,NA,NA,NA
"control",13159,"GA","Jasper County",1,33.315,-83.685,NA,NA,NA
"control",13171,"GA","Lamar County",1,33.075,-84.135,NA,NA,NA
"control",13199,"GA","Meriwether County",1,33.045,-84.685,NA,NA,NA
"control",13211,"GA","Morgan County",1,33.595,-83.485,NA,NA,NA
"control",13217,"GA","Newton County",1,33.555,-83.845,NA,NA,NA
"control",13223,"GA","Paulding County",1,33.925,-84.865,NA,NA,NA
"control",13227,"GA","Pickens County",1,34.465,-84.465,NA,NA,NA
"control",13231,"GA","Pike County",1,33.095,-84.385,NA,NA,NA
"control",13247,"GA","Rockdale County",1,33.655,-84.025,NA,NA,NA
"control",13255,"GA","Spalding County",1,33.265,-84.285,NA,NA,NA
"control",13297,"GA","Walton County",1,33.785,-83.735,NA,NA,NA
"control",17005,"IL","Bond County",1,38.885,-89.435,NA,NA,NA
"control",17013,"IL","Calhoun County",1,39.175,-90.665,NA,NA,NA
"control",17027,"IL","Clinton County",1,38.605,-89.425,NA,NA,NA
"control",17037,"IL","DeKalb County",1,41.895,-88.765,NA,NA,NA
"control",17063,"IL","Grundy County",1,41.285,-88.415,NA,NA,NA
"control",17083,"IL","Jersey County",1,39.085,-90.355,NA,NA,NA
"control",17089,"IL","Kane County",1,41.945,-88.425,NA,NA,NA
"control",17093,"IL","Kendall County",1,41.595,-88.425,NA,NA,NA
"control",17117,"IL","Macoupin County",1,39.265,-89.925,NA,NA,NA
"control",17133,"IL","Monroe County",1,38.285,-90.175,NA,NA,NA
"control",17163,"IL","St. Clair County",1,38.475,-89.925,NA,NA,NA
"control",18013,"IN","Brown County",1,39.195,-86.225,NA,NA,NA
"control",18029,"IN","Dearborn County",1,39.145,-84.975,NA,NA,NA
"control",18043,"IN","Floyd County",1,38.325,-85.905,NA,NA,NA
"control",18057,"IN","Hamilton County",1,40.075,-86.045,NA,NA,NA
"control",18059,"IN","Hancock County",1,39.825,-85.775,NA,NA,NA
"control",18061,"IN","Harrison County",1,38.195,-86.105,NA,NA,NA
"control",18073,"IN","Jasper County",1,41.025,-87.115,NA,NA,NA
"control",18089,"IN","Lake County",1,41.415,-87.375,NA,NA,NA
"control",18095,"IN","Madison County",1,40.155,-85.715,NA,NA,NA
"control",18109,"IN","Morgan County",1,39.475,-86.445,NA,NA,NA
"control",18111,"IN","Newton County",1,40.955,-87.395,NA,NA,NA
"control",18115,"IN","Ohio County",1,38.955,-84.965,NA,NA,NA
"control",18127,"IN","Porter County",1,41.465,-87.065,NA,NA,NA
"control",18133,"IN","Putnam County",1,39.665,-86.845,NA,NA,NA
"control",18143,"IN","Scott County",1,38.685,-85.745,NA,NA,NA
"control",18145,"IN","Shelby County",1,39.525,-85.785,NA,NA,NA
"control",18161,"IN","Union County",1,39.625,-84.925,NA,NA,NA
"control",18175,"IN","Washington County",1,38.605,-86.105,NA,NA,NA
"control",20103,"KS","Leavenworth County",1,39.205,-95.035,NA,NA,NA
"control",20107,"KS","Linn County",1,38.215,-94.845,NA,NA,NA
"control",20121,"KS","Miami County",1,38.565,-94.835,NA,NA,NA
"control",21023,"KY","Bracken County",1,38.695,-84.085,NA,NA,NA
"control",21037,"KY","Campbell County",1,38.945,-84.375,NA,NA,NA
"control",21077,"KY","Gallatin County",1,38.755,-84.855,NA,NA,NA
"control",21081,"KY","Grant County",1,38.655,-84.625,NA,NA,NA
"control",21103,"KY","Henry County",1,38.455,-85.115,NA,NA,NA
"control",21185,"KY","Oldham County",1,38.405,-85.445,NA,NA,NA
"control",21191,"KY","Pendleton County",1,38.695,-84.355,NA,NA,NA
"control",21211,"KY","Shelby County",1,38.215,-85.195,NA,NA,NA
"control",21215,"KY","Spencer County",1,38.035,-85.325,NA,NA,NA
"control",21223,"KY","Trimble County",1,38.615,-85.335,NA,NA,NA
"control",22051,"LA","Jefferson Parish",1,29.745,-90.115,NA,NA,NA
"control",22071,"LA","Orleans Parish",1,30.075,-89.925,NA,NA,NA
"control",22075,"LA","Plaquemines Parish",1,29.435,-89.625,NA,NA,NA
"control",22087,"LA","St. Bernard Parish",1,29.875,-89.535,NA,NA,NA
"control",22089,"LA","St. Charles Parish",1,29.905,-90.355,NA,NA,NA
"control",22093,"LA","St. James Parish",1,30.025,-90.795,NA,NA,NA
"control",22095,"LA","St. John the Baptist Parish",1,30.125,-90.465,NA,NA,NA
"control",22103,"LA","St. Tammany Parish",1,30.415,-89.955,NA,NA,NA
"control",24003,"MD","Anne Arundel County",1,39.005,-76.605,NA,NA,NA
"control",24009,"MD","Calvert County",1,38.545,-76.565,NA,NA,NA
"control",24013,"MD","Carroll County",1,39.565,-77.025,NA,NA,NA
"control",24017,"MD","Charles County",1,38.505,-76.985,NA,NA,NA
"control",24021,"MD","Frederick County",1,39.475,-77.405,NA,NA,NA
"control",24031,"MD","Montgomery County",1,39.135,-77.205,NA,NA,NA
"control",24033,"MD","Prince George's County",1,38.835,-76.845,NA,NA,NA
"control",24035,"MD","Queen Anne's County",1,39.065,-76.025,NA,NA,NA
"control",25005,"MA","Bristol County",1,41.795,-71.115,NA,NA,NA
"control",25017,"MA","Middlesex County",1,42.485,-71.395,NA,NA,NA
"control",25021,"MA","Norfolk County",1,42.165,-71.205,NA,NA,NA
"control",25025,"MA","Suffolk County",1,42.335,-71.065,NA,NA,NA
"control",26087,"MI","Lapeer County",1,43.095,-83.215,NA,NA,NA
"control",26093,"MI","Livingston County",1,42.605,-83.905,NA,NA,NA
"control",26147,"MI","St. Clair County",1,42.935,-82.675,NA,NA,NA
"control",27003,"MN","Anoka County",1,45.275,-93.245,NA,NA,NA
"control",27019,"MN","Carver County",1,44.825,-93.805,NA,NA,NA
"control",27025,"MN","Chisago County",1,45.505,-92.905,NA,NA,NA
"control",27059,"MN","Isanti County",1,45.565,-93.295,NA,NA,NA
"control",27079,"MN","Le Sueur County",1,44.375,-93.725,NA,NA,NA
"control",27095,"MN","Mille Lacs County",1,45.935,-93.625,NA,NA,NA
"control",27123,"MN","Ramsey County",1,45.015,-93.095,NA,NA,NA
"control",27141,"MN","Sherburne County",1,45.445,-93.775,NA,NA,NA
"control",27143,"MN","Sibley County",1,44.585,-94.225,NA,NA,NA
"control",27163,"MN","Washington County",1,45.045,-92.885,NA,NA,NA
"control",27171,"MN","Wright County",1,45.175,-93.965,NA,NA,NA
"control",28009,"MS","Benton County",1,34.815,-89.185,NA,NA,NA
"control",28137,"MS","Tate County",1,34.655,-89.945,NA,NA,NA
"control",28143,"MS","Tunica County",1,34.655,-90.375,NA,NA,NA
"control",29013,"MO","Bates County",1,38.255,-94.335,NA,NA,NA
"control",29025,"MO","Caldwell County",1,39.655,-93.985,NA,NA,NA
"control",29037,"MO","Cass County",1,38.655,-94.355,NA,NA,NA
"control",29047,"MO","Clay County",1,39.315,-94.415,NA,NA,NA
"control",29049,"MO","Clinton County",1,39.605,-94.405,NA,NA,NA
"control",29071,"MO","Franklin County",1,38.405,-91.075,NA,NA,NA
"control",29095,"MO","Jackson County",1,39.015,-94.345,NA,NA,NA
"control",29099,"MO","Jefferson County",1,38.265,-90.535,NA,NA,NA
"control",29107,"MO","Lafayette County",1,39.065,-93.785,NA,NA,NA
"control",29113,"MO","Lincoln County",1,39.065,-90.955,NA,NA,NA
"control",29165,"MO","Platte County",1,39.385,-94.775,NA,NA,NA
"control",29177,"MO","Ray County",1,39.355,-93.985,NA,NA,NA
"control",29189,"MO","St. Louis County",1,38.645,-90.445,NA,NA,NA
"control",29219,"MO","Warren County",1,38.765,-91.155,NA,NA,NA
"control",29510,"MO","St. Louis city",1,38.635,-90.245,NA,NA,NA
"control",33015,"NH","Rockingham County",1,42.985,-71.125,NA,NA,NA
"control",33017,"NH","Strafford County",1,43.295,-71.025,NA,NA,NA
"control",34007,"NJ","Camden County",1,39.805,-74.955,NA,NA,NA
"control",34013,"NJ","Essex County",1,40.785,-74.245,NA,NA,NA
"control",34017,"NJ","Hudson County",1,40.735,-74.075,NA,NA,NA
"control",34019,"NJ","Hunterdon County",1,40.565,-74.915,NA,NA,NA
"control",34025,"NJ","Monmouth County",1,40.265,-74.215,NA,NA,NA
"control",34027,"NJ","Morris County",1,40.865,-74.545,NA,NA,NA
"control",34029,"NJ","Ocean County",1,39.885,-74.275,NA,NA,NA
"control",34031,"NJ","Passaic County",1,41.035,-74.295,NA,NA,NA
"control",34037,"NJ","Sussex County",1,41.145,-74.685,NA,NA,NA
"control",34039,"NJ","Union County",1,40.655,-74.305,NA,NA,NA
"control",36005,"NY","Bronx County",1,40.855,-73.855,NA,NA,NA
"control",36027,"NY","Dutchess County",1,41.765,-73.745,NA,NA,NA
"control",36029,"NY","Erie County",1,42.765,-78.725,NA,NA,NA
"control",36051,"NY","Livingston County",1,42.735,-77.775,NA,NA,NA
"control",36059,"NY","Nassau County",1,40.745,-73.585,NA,NA,NA
"control",36061,"NY","New York County",1,40.775,-73.965,NA,NA,NA
"control",36063,"NY","Niagara County",1,43.205,-78.745,NA,NA,NA
"control",36069,"NY","Ontario County",1,42.855,-77.295,NA,NA,NA
"control",36073,"NY","Orleans County",1,43.255,-78.225,NA,NA,NA
"control",36079,"NY","Putnam County",1,41.425,-73.745,NA,NA,NA
"control",36081,"NY","Queens County",1,40.715,-73.815,NA,NA,NA
"control",36087,"NY","Rockland County",1,41.155,-74.025,NA,NA,NA
"control",36103,"NY","Suffolk County",1,40.865,-72.845,NA,NA,NA
"control",36117,"NY","Wayne County",1,43.155,-77.025,NA,NA,NA
"control",36119,"NY","Westchester County",1,41.165,-73.755,NA,NA,NA
"control",36123,"NY","Yates County",1,42.635,-77.105,NA,NA,NA
"control",37053,"NC","Currituck County",1,36.405,-76.005,NA,NA,NA
"control",37069,"NC","Franklin County",1,36.085,-78.285,NA,NA,NA
"control",37071,"NC","Gaston County",1,35.295,-81.185,NA,NA,NA
"control",37073,"NC","Gates County",1,36.445,-76.695,NA,NA,NA
"control",37097,"NC","Iredell County",1,35.805,-80.875,NA,NA,NA
"control",37101,"NC","Johnston County",1,35.525,-78.365,NA,NA,NA
"control",37109,"NC","Lincoln County",1,35.485,-81.225,NA,NA,NA
"control",37159,"NC","Rowan County",1,35.645,-80.525,NA,NA,NA
"control",37179,"NC","Union County",1,34.995,-80.525,NA,NA,NA
"control",39015,"OH","Brown County",1,38.935,-83.865,NA,NA,NA
"control",39025,"OH","Clermont County",1,39.045,-84.145,NA,NA,NA
"control",39041,"OH","Delaware County",1,40.285,-83.005,NA,NA,NA
"control",39045,"OH","Fairfield County",1,39.755,-82.625,NA,NA,NA
"control",39055,"OH","Geauga County",1,41.505,-81.185,NA,NA,NA
"control",39073,"OH","Hocking County",1,39.495,-82.475,NA,NA,NA
"control",39085,"OH","Lake County",1,41.695,-81.235,NA,NA,NA
"control",39093,"OH","Lorain County",1,41.295,-82.145,NA,NA,NA
"control",39103,"OH","Medina County",1,41.125,-81.905,NA,NA,NA
"control",39117,"OH","Morrow County",1,40.525,-82.795,NA,NA,NA
"control",39127,"OH","Perry County",1,39.735,-82.235,NA,NA,NA
"control",39129,"OH","Pickaway County",1,39.645,-83.025,NA,NA,NA
"control",39159,"OH","Union County",1,40.295,-83.365,NA,NA,NA
"control",39165,"OH","Warren County",1,39.425,-84.165,NA,NA,NA
"control",40017,"OK","Canadian County",1,35.545,-97.975,NA,NA,NA
"control",40027,"OK","Cleveland County",1,35.205,-97.325,NA,NA,NA
"control",40051,"OK","Grady County",1,35.015,-97.885,NA,NA,NA
"control",40081,"OK","Lincoln County",1,35.705,-96.875,NA,NA,NA
"control",40083,"OK","Logan County",1,35.925,-97.445,NA,NA,NA
"control",40087,"OK","McClain County",1,35.015,-97.445,NA,NA,NA
